category,final,initial,market,name,price
laticinios-e-frios,17/04/2019,29/03/2019,mundial,"ACTIVIA Shot 100g, DANONINHO Líquido 100g, PAULISTA Natural 170g, PAULISTA Líquido 170g, DANONE Grego 100g ou DANONE Líquido 170g",1.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Iogurte Líquido CHAMYTO GO Vitamina de Frutas ou Morango 100g,1.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Petit Suisse CHAMBINHO Chocolate ou Morango 320g,4.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,DANONINHO Vitamina Sabores 130g,3.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,ACTIVIA Líquido 170g ou ACTIVIA Líquido 0% 170g,3.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Requeijão CATUPIRY Cremoso 500g Tradicional ou Light,12.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,YOPRO 160g,5.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Requeijão CATUPIRY 410g Embalagem Plástica,17.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Bola Português PAIVA Flamengo 1/4 ou Metades,49.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,OIKOS Tentações 100g,3.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Leite Fermentado ITAMBÉ Tamanho Família Garrafa 900g,7.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Iogurte ITAMBÉ Natural Milk ou Pedaços Potão Coco ou Morango 500g,5.98
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Colonial Light Zero Lactose BONQ 450g,19.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Queijo Minas Padrão Light Zero Lactose BONQ 450g,19.85
laticinios-e-frios,17/04/2019,29/03/2019,mundial,Iogurte NESTLÉ GREGO Vários Sabores 90g,1.98
padaria,17/04/2019,29/03/2019,mundial,Pão de Forma PLUS VITA Integral 500g,5.69
padaria,17/04/2019,29/03/2019,mundial,Bolo PLUS VITA Vários Sabores 250g,4.95
padaria,17/04/2019,29/03/2019,mundial,Pão de Forma VISCONTI Multigrãos 370g,5.95
padaria,17/04/2019,29/03/2019,mundial,Pão WICKBOLD s/ Glúten Grão ou Tradicional 300g,11.95
padaria,17/04/2019,29/03/2019,mundial,Pão GRÃO LEV Premium 7 Grãos e Chia ou Integral 400g,4.95
